Time,Channel B,Channel C
(ns),(mV),(mV)

49.20000196,-1.18110200,-0.39370070
49.60000197,-1.18110200,-0.39370070
50.00000197,-1.18110200,-0.78740150
50.40000198,-1.57480300,-0.39370070
50.80000198,-1.18110200,-0.78740150
51.20000199,-0.78740150,0.00000000
51.60000199,-0.39370070,0.00000000
52.00000200,-1.57480300,0.00000000
52.40000200,-0.39370070,0.00000000
52.80000201,-1.57480300,0.78740150
53.20000201,-0.78740150,0.39370070
53.60000202,-1.18110200,0.78740150
54.00000203,-0.78740150,0.39370070
54.40000203,-1.18110200,0.78740150
54.80000204,-1.18110200,0.78740150
55.20000204,-1.18110200,0.78740150
55.60000205,-0.78740150,0.78740150
56.00000205,-1.18110200,0.39370070
56.40000206,-0.78740150,0.78740150
56.80000206,-1.18110200,0.78740150
57.20000207,-0.39370070,0.00000000
57.60000207,-1.18110200,0.78740150
58.00000208,-0.39370070,0.39370070
58.40000208,-0.78740150,0.78740150
58.80000209,-0.78740150,0.00000000
59.20000209,-1.57480300,0.39370070
59.60000210,0.00000000,0.00000000
60.00000211,-0.78740150,0.39370070
60.40000211,-0.78740150,-0.39370070
60.80000212,-1.57480300,0.78740150
61.20000212,-0.39370070,-0.39370070
61.60000213,-1.18110200,0.00000000
62.00000213,-0.78740150,-0.39370070
62.40000214,-1.18110200,-0.78740150
62.80000214,-0.39370070,-0.78740150
63.20000215,-0.78740150,-0.39370070
63.60000215,-0.39370070,0.00000000
64.00000216,-0.78740150,0.00000000
64.40000216,-0.78740150,-0.39370070
64.80000217,-1.18110200,-0.39370070
65.20000218,-0.78740150,-0.39370070
65.60000218,-1.57480300,-0.39370070
66.00000219,-0.78740150,-0.39370070
66.40000219,-1.18110200,0.00000000
66.80000220,-0.39370070,-0.39370070
67.20000220,-1.18110200,-0.78740150
67.60000221,-0.39370070,-0.78740150
68.00000221,-1.18110200,-0.39370070
68.40000222,-0.39370070,-0.78740150
68.80000222,-1.57480300,-0.39370070
69.20000223,-0.78740150,-0.78740150
69.60000223,-1.18110200,0.00000000
70.00000224,-0.78740150,-1.18110200
70.40000224,-1.18110200,-0.39370070
70.80000225,-0.39370070,-0.78740150
71.20000226,-1.18110200,0.00000000
71.60000226,-0.78740150,-0.39370070
