============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000161   1.0711E+03  2.5931E+02 -2.0063E+02
0000162   7.0189E+02  2.4352E+02  1.7698E+02
0000163   5.2111E+02 -3.5515E+02  3.4432E+02
0000164   8.8099E+02 -3.5726E+02 -1.6903E+00
0000165   5.9045E+02  3.6106E+02 -7.9663E+01
0000166   5.9797E+02 -7.4269E+01  1.0618E+02
0000167   8.7024E+02 -4.1344E+02  2.2964E+02
0000168   1.6974E+02 -2.4127E+02  2.5249E+02
0000169   3.2715E+02  9.6211E+01 -2.0356E+01
0000170   4.8047E+02  4.6742E+02  2.1182E+02
0000171   2.7515E+02  2.9243E+01  1.3568E+02
0000172   3.6052E+02 -1.0673E+02 -1.8051E+02
0000173   7.6903E+02 -7.0215E+01  2.9043E+02
0000174   3.3981E+02  2.9253E+01 -2.1449E+02
0000175   4.6758E+02 -3.5338E+01 -6.4402E+01
0000176   1.1486E+03 -4.8319E+02 -1.9816E+02
0000177   3.2634E+02 -3.4122E+02  4.5070E+01
0000178   7.6931E+02 -1.6992E+02 -2.1549E+02
0000179   2.0680E+02  1.7993E+02 -1.7622E+02
0000180   6.4497E+02 -2.6987E+02 -9.8255E+01
0000181   7.8964E+02 -3.9226E+01  1.1930E+02
0000182   2.8801E+02  2.3423E+02  2.6274E+01
0000183   7.3124E+02 -3.2245E+02 -1.9165E+02
0000184   2.2959E+02 -2.6531E+01 -5.1594E+01
0000185   5.3186E+02 -2.5299E+02 -1.0525E+02
0000186   4.5828E+02  1.2730E+02 -1.2979E+02
0000187   6.1366E+02  2.7298E+02 -7.8621E+01
0000188   8.6637E+02 -4.0730E+02 -1.8729E+02
0000189   3.2009E+02 -1.0770E+02  1.7069E+02
0000190   4.2607E+02  9.2721E+00 -7.4322E+01
0000191   8.0574E+02  1.6332E+02  2.5198E+02
0000192   9.2707E+02 -5.1065E+01  1.2522E+00
0000193   3.8705E+02 -3.5523E+01 -9.4378E+01
0000194   7.7703E+02  1.3791E+02 -2.3320E+02
0000195   9.3822E+02 -1.3460E+02 -1.4200E+02
